2022-07-02 15:46:45.942061: Scan at x:131.895, y:43.086, z:12 got 29 ships
2022-07-02 15:46:46.266063: Scan at x:118.99, y:38.487, z:8 got 29 ships
2022-07-02 15:46:46.388362: Scan at x:131.895, y:43.086, z:12 got 2 ships
2022-07-02 15:46:46.683090: Scan at x:118.99, y:38.487, z:8 got 2 ships
2022-07-02 15:46:46.797115: Scan at x:131.895, y:43.086, z:12 got 6 ships
2022-07-02 15:46:47.199012: Scan at x:131.895, y:43.086, z:12 got 3 ships
2022-07-02 15:46:47.213018: Scan at x:118.99, y:38.487, z:8 got 6 ships
2022-07-02 15:46:47.592935: Scan at x:131.895, y:43.086, z:12 got 9 ships
2022-07-02 15:46:47.600938: Scan at x:118.99, y:38.487, z:8 got 3 ships
2022-07-02 15:46:48.105286: Scan at x:131.895, y:43.086, z:12 got 0 ships
2022-07-02 15:46:48.324281: Scan at x:118.99, y:38.487, z:8 got 9 ships
2022-07-02 15:46:48.585101: Scan at x:131.895, y:43.086, z:12 got 0 ships
2022-07-02 15:46:48.808143: Scan at x:118.99, y:38.487, z:8 got 0 ships
2022-07-02 15:46:49.289942: Scan at x:118.99, y:38.487, z:8 got 0 ships
2022-07-02 15:46:49.902770: Scan at x:118.99, y:38.487, z:8 got 1128 ships
2022-07-02 15:46:50.896062: Scan at x:118.99, y:38.487, z:8 got 1672 ships
2022-07-02 15:46:52.110496: Scan at x:118.99, y:38.487, z:8 got 841 ships
2022-07-02 15:46:53.148147: Scan at x:118.99, y:38.487, z:8 got 1195 ships
2022-07-02 15:46:53.895080: Scan at x:118.99, y:38.487, z:8 got 56 ships
2022-07-02 15:46:54.537449: Scan at x:118.99, y:38.487, z:8 got 977 ships
2022-07-02 15:46:55.144161: Scan at x:118.99, y:38.487, z:8 got 0 ships
2022-07-02 15:46:55.886960: Scan at x:118.99, y:38.487, z:8 got 538 ships
2022-07-02 15:46:59.114833: Scan at x:131.895, y:43.086, z:12 got 125 ships
2022-07-02 15:46:59.555838: Scan at x:131.895, y:43.086, z:12 got 29 ships
2022-07-02 15:46:59.957146: Scan at x:131.895, y:43.086, z:12 got 2 ships
2022-07-02 15:47:00.456057: Scan at x:131.895, y:43.086, z:12 got 6 ships
2022-07-02 15:47:00.833050: Scan at x:131.895, y:43.086, z:12 got 3 ships
2022-07-02 15:47:01.304992: Scan at x:131.895, y:43.086, z:12 got 9 ships
2022-07-02 15:47:01.859377: Scan at x:131.895, y:43.086, z:12 got 0 ships
2022-07-02 15:47:02.314061: Scan at x:131.895, y:43.086, z:12 got 0 ships
2022-07-02 15:47:03.531056: Stopped scan at x:131.895, y:43.086, z:12
2022-07-02 15:47:03.531056: Stopped scan at x:118.99, y:38.487, z:8
2022-07-02 16:30:44.650936: Stopped analysis
